Salary,Educ,Race,Gender,Region,Married,Years,Age,Job
10,10,Non-White,F,North,Married,25,46,Teacher
13.21946683,18,Non-White,M,North,Married,15,39,Doctor
8.67,16,Non-White,F,North,Single,10,32,Doctor
4.7,8,Non-White,M,North,Married,19,38,Driver
9.75,15,Non-White,F,North,Married,9,30,Driver
10.58,14,Non-White,M,North,Married,25,45,Driver
4,13,Non-White,M,North,Single,0,24,Driver
9.5,16,Non-White,F,North,Married,22,44,Doctor
12,12,Non-White,M,North,Married,14,32,Driver
7.5,12,Non-White,M,North,Married,17,35,Driver
10.5,12,Non-White,M,North,Married,4,22,Driver
13,12,Non-White,M,North,Married,8,26,Driver
6.94,12,Non-White,F,North,Single,7,25,Teacher
9.22,14,Non-White,F,North,Married,13,33,Sales
9,18,Non-White,M,North,Married,33,57,Doctor
3.75,11,White,M,North,Single,11,33,Sales
10.56,14,White,F,North,Married,14,34,Doctor
9,14,White,F,North,Single,15,35,Engineer
4,12,White,F,North,Single,15,33,Teacher
8,17,White,F,South,Single,3,26,Doctor
3.35,12,White,M,South,Single,0,23,Driver
13,12,Non-White,M,South,Married,25,43,Teacher
7,12,White,F,South,Married,32,50,Sales
5,12,White,F,South,Married,14,32,Teacher
8.89,12,White,M,South,Married,18,36,Driver
3.35,12,White,F,South,Single,0,23,Teacher
12.25,17,Non-White,F,South,Married,32,55,Engineer
9.38,14,White,F,South,Single,15,35,Doctor
4.75,12,White,M,South,Married,8,26,Driver
15.89,16,White,F,South,Single,17,39,Doctor
12.71,16,White,F,South,Single,42,64,Engineer
10.1,13,White,M,South,Single,16,35,Engineer
4.56,12,White,F,South,Single,12,30,Engineer
15,16,White,M,South,Married,12,34,Driver
6.75,10,White,M,North,Married,13,34,Driver
20.32269772,16,White,M,North,Married,22,44,Sales
16.14,14,White,M,North,Single,16,36,Sales
7,14,White,M,North,Married,0,25,Doctor
12.67,12,White,F,North,Married,43,61,Engineer
18.42,14,White,M,North,Single,19,39,Doctor
18.16,17,White,M,South,Single,14,37,Sales
15.7193476,14,White,M,North,Single,4,24,Teacher
5,14,White,M,North,Single,0,25,Teacher
13.21946683,16,White,M,North,Married,18,40,Sales
4,16,White,F,North,Single,20,42,Teacher
13.28,16,White,M,North,Married,11,33,Driver
4.5,12,White,F,North,Married,7,25,Driver
6,12,White,F,North,Single,0,23,Engineer
10.6,9,White,M,North,Single,33,53,Engineer
9,8,White,M,North,Married,33,52,Driver
12,13,White,M,North,Married,34,53,Doctor
4.55,13,White,F,South,Single,1,20,Engineer
4.5,7,White,M,South,Married,14,32,Teacher
14,12,White,F,North,Married,11,29,Doctor
14,14,White,F,North,Married,10,30,Doctor
9.5,9,White,F,North,Married,46,66,Teacher
4.95,9,White,F,South,Married,42,62,Driver
6,7,White,F,South,Married,15,33,Driver
6.67,12,White,M,South,Single,1,19,Driver
3.64,12,White,F,South,Married,42,60,Sales
6,16,White,M,South,Single,8,30,Sales
5.5,12,White,M,South,Married,20,38,Teacher
6.5,12,White,M,South,Married,28,46,Driver
9,12,White,F,South,Single,8,26,Engineer
6.25,12,White,F,North,Single,8,26,Engineer
6.5,12,Non-White,F,North,Single,21,39,Engineer
11.25,12,Non-White,M,North,Single,41,59,Driver
15.51,18,Non-White,M,North,Single,14,38,Doctor
15,16,Non-White,M,South,Single,10,32,Sales
7.75,12,Non-White,M,South,Single,3,21,Doctor
11,8,Non-White,M,South,Single,42,61,Driver
4.75,12,Non-White,F,South,Single,10,28,Teacher
3.4,8,Non-White,F,South,Single,49,68,Teacher
7,12,Non-White,F,South,Single,19,37,Engineer
10,16,Non-White,M,South,Single,7,29,Sales
3.8,12,White,F,South,Single,4,22,Teacher
8.89,8,Non-White,F,South,Single,29,48,Teacher
13.12,12,Non-White,F,South,Married,33,51,Teacher
11.25,16,Non-White,F,South,Single,3,25,Sales
8,11,White,F,South,Single,12,34,Engineer
11.53,14,White,F,South,Married,12,32,Engineer
9.75,13,White,F,South,Married,10,29,Engineer
16,18,White,F,South,Single,31,55,Doctor
5.5,12,White,M,South,Married,12,30,Driver
13.2,16,White,M,North,Single,10,32,Sales
11.32,13,White,F,South,Single,28,47,Engineer
8.89,8,Non-White,F,South,Single,29,48,Teacher
20.32269772,16,White,M,North,Married,22,44,Sales
19,18,White,M,North,Single,13,37,Sales
3.8,12,Non-White,F,North,Single,16,34,Teacher
19.98,12,Non-White,M,North,Married,23,41,Driver
13.75,14,White,M,North,Married,21,41,Teacher
15.89,16,White,F,South,Single,17,39,Doctor
10,14,Non-White,M,South,Single,22,42,Sales
6.88,8,White,F,North,Married,22,41,Driver
7.25,13,Non-White,F,South,Married,30,49,Engineer
15.7193476,14,White,M,North,Single,4,24,Teacher
14.29,14,Non-White,F,South,Married,32,52,Teacher
17.38,16,Non-White,M,South,Married,33,55,Doctor
6,12,White,F,North,Single,0,23,Engineer
5,12,Non-White,F,North,Married,28,46,Driver
5,12,White,F,South,Married,14,32,Teacher
13.21946683,17,Non-White,M,North,Married,18,41,Doctor
6,12,White,M,North,Married,9,27,Driver
15.7193476,17,White,F,North,Single,5,28,Doctor
8.88,16,Non-White,M,North,Married,17,39,Engineer
15.51,18,Non-White,M,North,Single,14,38,Doctor
13.21946683,18,White,F,North,Married,19,43,Sales
6,16,White,M,South,Single,8,30,Sales
4.17,14,Non-White,F,South,Single,24,44,Teacher
8.99,12,White,F,North,Single,15,33,Teacher
4,16,White,F,North,Single,20,42,Teacher
7,14,White,M,North,Married,0,25,Doctor
3.5,9,Non-White,M,North,Married,47,67,Teacher
12.25,17,Non-White,F,South,Married,32,55,Engineer
13.2,16,White,M,North,Single,10,32,Sales
4.5,12,White,M,South,Single,16,34,Driver
9.38,14,White,F,South,Single,15,35,Doctor
11.84,12,Non-White,M,South,Married,26,44,Sales
6.25,14,White,M,North,Single,2,22,Sales
14,17,Non-White,F,North,Married,24,47,Doctor
12.2,14,White,M,South,Married,10,30,Driver
9.75,15,Non-White,F,North,Married,9,30,Driver
14,12,White,F,North,Married,11,29,Doctor
9,14,White,F,North,Single,15,35,Engineer
13.28,16,White,M,North,Married,11,33,Driver
11.81,12,Non-White,F,South,Single,40,58,Engineer
11.37,17,Non-White,M,North,Single,7,30,Doctor
10,16,Non-White,F,South,Married,27,49,Engineer
9.83,12,White,M,North,Married,23,41,Driver
4.55,12,White,F,South,Single,4,22,Sales
11.11,12,White,M,South,Married,28,46,Teacher
6.1,10,White,F,South,Single,44,65,Driver
3.65,11,Non-White,M,North,Single,16,38,Driver
5.55,11,Non-White,F,South,Single,45,67,Teacher
9,10,White,M,North,Married,27,48,Sales
6.75,10,White,M,North,Married,13,34,Driver
7.75,12,Non-White,M,South,Single,3,21,Doctor
9,16,Non-White,F,North,Married,6,28,Teacher
6.28,12,Non-White,F,South,Single,38,56,Driver
4,12,White,F,North,Single,15,33,Teacher
3.35,14,Non-White,M,North,Single,0,25,Teacher
5.77,16,White,M,North,Single,3,25,Teacher
10.56,14,White,F,North,Married,14,34,Doctor
4.5,12,White,F,North,Single,3,21,Driver
4,13,Non-White,M,North,Single,0,24,Driver
5.5,12,White,M,South,Married,12,30,Driver
16.14,14,White,M,North,Single,16,36,Sales
13.21946683,16,Non-White,F,South,Married,11,33,Doctor
13.21946683,18,Non-White,M,North,Married,15,39,Doctor
12.67,12,White,F,North,Married,43,61,Engineer
13.21946683,14,Non-White,M,South,Married,15,35,Doctor
8.75,12,Non-White,M,North,Single,9,27,Driver
4.8,12,Non-White,F,South,Married,16,34,Driver
5.83,13,Non-White,M,North,Single,3,22,Teacher
4.35,16,Non-White,M,North,Single,3,25,Engineer
10,12,Non-White,M,South,Married,11,29,Driver
20.32269772,18,White,F,South,Single,37,61,Doctor
9.5,9,White,F,North,Married,46,66,Teacher
13.21946683,16,Non-White,M,South,Married,17,39,Doctor
12,13,White,M,North,Married,34,53,Doctor
15,16,White,M,South,Married,12,34,Driver
14.67,14,Non-White,M,South,Married,16,36,Teacher
3.6,12,White,F,South,Married,43,61,Teacher
9.25,12,White,M,North,Single,19,37,Driver
10,10,Non-White,F,North,Married,25,46,Teacher
8.67,16,Non-White,F,North,Single,10,32,Doctor
3.95,12,Non-White,F,South,Married,9,27,Teacher
6.5,12,White,M,South,Married,28,46,Driver
18,12,Non-White,M,South,Married,12,30,Doctor
3.64,12,White,F,South,Married,42,60,Sales
13,12,Non-White,M,South,Married,25,43,Teacher
13.22,18,White,M,North,Married,19,43,Doctor
9.22,14,Non-White,F,North,Married,13,33,Sales
8.89,12,White,M,South,Married,18,36,Driver
13.12,12,Non-White,F,South,Married,33,51,Teacher
6.62,13,White,F,North,Married,2,21,Engineer
10.65,12,Non-White,F,South,Single,38,56,Engineer
7.5,12,Non-White,M,North,Married,17,35,Driver
7,12,Non-White,F,South,Single,19,37,Engineer
9,12,White,F,South,Single,8,26,Engineer
7,12,White,F,South,Married,32,50,Sales
15,12,Non-White,M,North,Married,40,58,Sales
3,15,White,F,South,Married,30,60,Driver
4.7,8,Non-White,M,North,Married,19,38,Driver
3.64,12,White,F,South,Married,42,60,Sales
